epoch	train error	test error	
 1.1400e+02	 2.1553e-03	 1.7914e-03	
 1.1500e+02	 2.0745e-03	 1.7666e-03	
 1.1600e+02	 2.0972e-03	 1.7503e-03	
 1.1700e+02	 2.0977e-03	 1.7450e-03	
 1.1800e+02	 2.0584e-03	 1.7281e-03	
 1.1900e+02	 2.0572e-03	 1.7112e-03	
 1.2000e+02	 2.0509e-03	 1.6988e-03	
 1.2100e+02	 2.0259e-03	 1.6815e-03	
 1.2200e+02	 2.0144e-03	 1.6630e-03	
 1.2300e+02	 2.0012e-03	 1.6458e-03	
 1.2400e+02	 1.9797e-03	 1.6259e-03	
 1.2500e+02	 1.9627e-03	 1.6046e-03	
 1.2600e+02	 1.9443e-03	 1.5829e-03	
 1.2700e+02	 1.9217e-03	 1.5593e-03	
 1.2800e+02	 1.8998e-03	 1.5342e-03	
 1.2900e+02	 1.8763e-03	 1.5081e-03	
 1.3000e+02	 1.8502e-03	 1.4802e-03	
 1.3100e+02	 1.8233e-03	 1.4507e-03	
 1.3200e+02	 1.7948e-03	 1.4200e-03	
 1.3300e+02	 1.7641e-03	 1.3878e-03	
 1.3400e+02	 1.7322e-03	 1.3543e-03	
 1.3500e+02	 1.6987e-03	 1.3198e-03	
 1.3600e+02	 1.6637e-03	 1.2845e-03	
 1.3700e+02	 1.6276e-03	 1.2488e-03	
 1.3800e+02	 1.5907e-03	 1.2132e-03	
 1.3900e+02	 1.5534e-03	 1.1783e-03	
 1.4000e+02	 1.5164e-03	 1.1446e-03	
 1.4100e+02	 1.4803e-03	 1.1130e-03	
 1.4200e+02	 1.4460e-03	 1.0841e-03	
 1.4300e+02	 1.4143e-03	 1.0584e-03	
 1.4400e+02	 1.3861e-03	 1.0365e-03	
 1.4500e+02	 1.3619e-03	 1.0186e-03	
 1.4600e+02	 1.3422e-03	 1.0044e-03	
 1.4700e+02	 1.3269e-03	 9.9369e-04	
 1.4800e+02	 1.3155e-03	 9.8574e-04	
 1.4900e+02	 1.3075e-03	 9.7986e-04	
 1.5000e+02	 1.3018e-03	 9.7531e-04	
 1.5100e+02	 1.2976e-03	 9.7153e-04	
 1.5200e+02	 1.2941e-03	 9.6808e-04	
 1.5300e+02	 1.2909e-03	 9.6472e-04	
 1.5400e+02	 1.2878e-03	 9.6133e-04	
 1.5500e+02	 1.2845e-03	 9.5783e-04	
 1.5600e+02	 1.2811e-03	 9.5420e-04	
 1.5700e+02	 1.2775e-03	 9.5043e-04	
 1.5800e+02	 1.2737e-03	 9.4651e-04	
 1.5900e+02	 1.2697e-03	 9.4241e-04	
 1.6000e+02	 1.2655e-03	 9.3815e-04	
 1.6100e+02	 1.2612e-03	 9.3369e-04	
 1.6200e+02	 1.2566e-03	 9.2902e-04	
 1.6300e+02	 1.2517e-03	 9.2415e-04	
 1.6400e+02	 1.2466e-03	 9.1904e-04	
 1.6500e+02	 1.2412e-03	 9.1370e-04	
 1.6600e+02	 1.2356e-03	 9.0809e-04	
 1.6700e+02	 1.2296e-03	 9.0222e-04	
 1.6800e+02	 1.2234e-03	 8.9604e-04	
 1.6900e+02	 1.2166e-03	 8.8962e-04	
 1.7000e+02	 1.2097e-03	 8.8279e-04	
 1.7100e+02	 1.2020e-03	 8.7589e-04	
 1.7200e+02	 1.1947e-03	 8.6850e-04	
 1.7300e+02	 1.1857e-03	 8.6207e-04	
 1.7400e+02	 1.1791e-03	 8.5604e-04	
 1.7500e+02	 1.1693e-03	 8.5798e-04	
 1.7600e+02	 1.1696e-03	 8.7298e-04	
 1.7700e+02	 1.1706e-03	 9.5081e-04	
